@ref	@lat	@lon
27607:24	50.237275	14.291355
27607:3	50.342649	14.494715
27607:38	50.2172084	14.3245143
27607:4	50.347752	14.492848
27607:63	50.349612	14.4592664
28000:101	50.0711386	15.0718642
28000:23	50.02389300000001	15.192012
28520:66	49.7339753	15.1740908
28900:14	50.2343347	15.3566253
28900:15	50.271797	15.3236088
28900:19	50.27804889999999	15.3558102
28900:2	50.207488	15.298274
28900:21	50.1914642	15.2321915
29000:17	50.0915084	15.1473507
29000:25	50.1462758	15.1336216
29000:26	50.1432486	15.1390024
29000:29	50.14888329999999	15.115368
29000:31	50.1492922	15.1234711
30071:1	49.7423806	13.3642486
30071:135	49.7617908	13.3539231
30071:161	49.7127158	13.2046047
30071:174	49.6832272	13.2443924
30071:179	49.7695402	13.2351907
30071:194	49.7817626	13.1606733
30071:229	49.6928429	13.3210288
30071:230	49.6958612	13.3988633
30071:233	49.6772357	13.3487246
30071:237	49.7286371	13.3089834
30071:239	49.7731175	13.2979061
30071:240	49.8245096	13.3894606
30071:248	49.7308009	13.3099457
30071:257	49.8567276	13.5167439
30071:264	49.8029997	13.4189927
30071:273	49.8927546	13.3506464
30071:274	49.8401299	13.3555893
30071:277	49.8401299	13.3555893
30071:279	49.91365330000001	13.2607496
30071:300	49.89313869999999	13.3829583
30071:301	49.89313869999999	13.3829583
30071:307	49.8842276	13.1834175
30071:308	49.9066078	13.1463653
30071:309	49.8935752	13.1230985
30071:310	49.9014965	13.0931726
30071:314	49.93744299999999	13.0575955
30071:316	49.9737131	13.0599972
30071:317	50.0115383	13.1130432
30071:318	49.9372999	13.0116912
30071:321	49.996966	13.0979398
30071:322	49.8851747	13.3027788
30071:323	49.9955604	13.079359
30071:324	50.01048429999999	13.0875709
30071:327	49.8090388	13.1727476
30071:328	49.8102737	13.1887327
30071:330	49.8558491	13.1854017
30071:332	49.8807561	13.2116456
30071:333	49.8773414	13.2203856
30071:336	49.8539	13.1112964
30071:337	49.8129055	13.1036838
30071:339	49.8743232	13.0758136
30071:340	49.8719991	13.1218087
30071:341	49.8722984	13.1095725
30071:342	49.8743232	13.0758136
30071:343	49.8743232	13.0758136
30071:344	49.8925771	13.0585728
30071:352	49.95018659999999	13.3082653
30071:355	49.9563961	13.3940825
30071:356	49.9557542	13.373132
30071:357	49.9173315	13.3074201
30071:358	49.95018659999999	13.3082653
30071:359	49.9501314	13.3324529
30071:360	49.9005114	13.4747623
30071:361	49.936303	13.4303347
30071:362	49.9219274	13.4137702
30071:364	49.9550524	13.2762941
30071:365	49.9268533	13.2878778
30071:366	49.9917836	13.2332042
30071:367	49.9743022	13.260958
30071:369	50.0029396	13.2618028
